#{"t_start": 1693147490.012485, "env_id": "gym_examples/Schedule-v0"}
r,l,t
-685.0,655,6983.436736
-108,123,6984.029157
-72,73,6984.378233
-18,20,6984.471997
-61,90,6984.898151
-25,228,6985.928835
-72,125,6986.496731
-50,75,6986.838819
-37,80,6987.201378
-37,67,6987.51621
-20,141,6988.14913
-1511.0,630,6991.120402
-271.0,117,6991.659573
-20,45,6991.863646
-45,75,6992.220747
-36,64,6992.517202
-20,26,6992.637054
-20,53,6992.877187
-1764.0,1396,6999.650211
-49,142,7000.313027
-107,255,7001.479075
-21,63,7001.77492
-53,129,7002.364253
-1228.0,947,7028.560143
-105,140,7029.164222
-42.0,173,7029.878306
-207.0,262,7031.041429
-65.0,147,7031.675624
-146,239,7032.756959
-174.0,112,7033.26518
-21,30,7033.399586
-21,175,7034.16734
-76,208,7035.08906
-33,45,7035.295063
-18,26,7035.411849
-229.0,189,7036.301674
-31,92,7036.719834
-32,48,7036.947977
-65,67,7037.2598
-78,109,7037.762483
-411,436,7039.828147
-18,21,7039.926289
-56,85,7040.320626
-192.0,174,7041.140115
-83,290,7042.468896
-368,640,7045.389355
-17,144,7046.032117
-384.0,353,7047.672539
-37,63,7047.963219
-18,46,7048.172955
-29,333,7049.660133
-29,227,7050.676179
-1861.0,739,7054.120245
-168,282,7055.432673
-47,122,7055.989135
-81,109,7056.495485
-33,59,7056.767914
-48,85,7057.158234
-24,98,7057.60245
-18,91,7058.015471
-157,269,7059.259564
-24,40,7059.442411
-111,173,7060.258488
-39,180,7061.06992
-19,119,7061.599235
-19,61,7061.873426
-22,59,7062.138184
-17,30,7062.273877
-17,111,7062.765807
-22,124,7063.315496
-26.0,23,7063.419788
-31,33,7063.570806
-104,329,7065.061873
-19,44,7065.262145
-174,175,7066.081906
-34,46,7066.295944
-92,269,7067.508215
-29,41,7067.694611
-21,170,7068.445322
-19,50,7068.668624
-23,28,7068.796329
-234,244,7069.950547
-753.0,600,7072.790636
-74,112,7073.309621
-32,53,7073.553904
-23,43,7095.440324
-25,156,7096.086556
-18,32,7096.222546
-49,86,7096.586905
-36,143,7097.178208
-80,227,7098.149051
-244,309,7099.524862
-51,107,7100.011398
-20,60,7100.276449
-233.0,360,7101.909315
-20,63,7102.188592
-96.0,144,7102.839911
-46,47,7103.057558
-91,264,7104.249008
-23,33,7104.40106
-22,177,7105.196164
-62,102,7105.664122
-37,80,7106.028187
-169,181,7106.876835
-17,36,7107.041607
-154,229,7108.091231
-78,143,7108.739818
-129,224,7109.773073
-23,30,7109.909935
-342.0,353,7111.568459
-85,137,7112.201391
-36,61,7112.480373
-18,20,7112.573397
-114,176,7113.392926
-36,61,7113.687553
-21,101,7114.146931
-22,62,7114.427514
-186.0,222,7115.469581
-28,36,7115.634521
-26,40,7115.816717
-25,55,7116.064505
-26,58,7116.328367
-91,171,7117.106101
-74,185,7117.949515
-63,127,7118.544378
-72,150,7119.227605
-52,108,7119.721907
-26,135,7120.331913
-30,55,7120.584063
-116,225,7121.622236
-54,72,7121.951696
-119,274,7123.200147
-23,57,7123.457389
-19,60,7123.725984
-65,68,7124.039379
-21,288,7125.32637
-40,178,7126.1218
-359.0,81,7126.497606
-47,68,7126.810195
-59,61,7127.093611
-18,22,7127.204816
-28,38,7127.381542
-49,120,7127.92775
-111.0,64,7128.228914
-1146,1140,7133.631768
-479.0,485,7135.94139
-24,120,7136.479958
-96,128,7137.085646
-26,104,7137.551575
-29,169,7138.308241
-18,57,7138.563821
-25,28,7138.692904
-42,48,7138.913959
-29,146,7139.564111
-18,121,7140.100609
-36,59,7140.367424
-23,44,7140.564362
-90.0,130,7162.83676
-20,57,7163.073683
-23,30,7163.201513
-257,329,7164.624654
-25,106,7165.077551
-89,101,7165.530484
-26,30,7165.664087
-28,133,7166.239399
-21,36,7166.400097
-328.0,438,7168.404188
-27,85,7168.784014
-156,161,7169.538148
-53.0,78,7169.895013
-35,50,7170.123411
-21,69,7170.435507
-146.0,176,7171.247238
-135,138,7171.90093
-47,147,7172.57423
-97,686,7175.621637
-19,193,7176.484105
-19,169,7177.237752
-17,103,7177.699731
-24,68,7178.004874
-23,203,7178.907113
-59,96,7179.341265
-76,131,7179.933149
-24,49,7180.153109
-21,62,7180.432321
-35,104,7180.911546
-222.0,203,7181.837553
-205,349,7183.416811
-26,129,7183.99429
-23,60,7184.262384
-35,204,7185.165968
-19,33,7185.325361
-679.0,114,7185.856317
-21,72,7186.177988
-57,92,7186.599003
-22,91,7187.006501
-24,75,7187.343197
-64.0,115,7187.873352
-278,290,7189.240985
-173,207,7190.225473
-1363.0,372,7191.995508
-33.0,32,7192.145204
-19,32,7192.29191
-26,87,7192.685897
-20,120,7193.227544
-70,110,7193.730441
-85,120,7194.28832
-24,157,7195.002751
-16,88,7195.39939
-71,116,7195.928382
-54,153,7196.619265
-74,182,7197.437098
-36,76,7197.779449
-35,109,7198.267787
-20,110,7198.756389
-23,31,7198.898099
-18,48,7199.123775
-80,166,7199.880128
-1300.0,308,7201.32038
-34,62,7201.605021
-23,34,7201.762242
-600.0,262,7203.003994
-81,165,7203.771018
-43,66,7204.074432
-80,81,7204.456517
-32,267,7205.653751
-115,347,7207.220181
-588,606,7231.614996
-30,121,7232.125678
-1316.0,600,7234.82693
-32,108,7235.308317
-30,127,7235.869149
-74,107,7236.355614
-22,140,7236.972816
-34,41,7237.16174
-23,46,7237.367716
-21,52,7237.600765
-22,75,7237.934998
-66,89,7238.34219
-24,44,7238.542055
-35,52,7238.778709
-43,138,7239.412495
-24,76,7239.754548
-35,87,7240.151022
-37,38,7240.328169
-28,43,7240.526598
-85,124,7241.09865
-18,80,7241.457745
-97,133,7242.075539
-20,24,7242.188761
-57,73,7242.535906
-63,125,7243.10989
-125.0,67,7243.41975
-122,181,7244.26408
-95,143,7244.923004
-611,649,7247.945761
-61,119,7248.502536
-176.0,173,7249.308561
-31,71,7249.632752
-25,183,7250.458557
-27,65,7250.755649
-26,76,7251.099847
-32,104,7251.571714
-76,290,7252.894334
-18,52,7253.129799
-1523.0,698,7256.370201
-384,404,7258.290835
-21,63,7258.580857
-17,114,7259.094127
-66,80,7259.467586
-81,93,7259.898411
-180,392,7261.664602
-31,86,7262.059386
-659.0,132,7262.666048
-30,54,7262.913173
-29,146,7263.570079
-34,155,7264.264627
-241,381,7266.029321
-26,224,7267.04276
-2884.0,962,7271.635337
-160.0,230,7272.702488
-2511.0,778,7297.979566
-23,44,7298.164853
-129,140,7298.775567
-62,70,7299.081567
-84,144,7299.701216
-27,29,7299.833428
-65.0,102,7300.27938
-27,40,7300.457302
-263,265,7301.653484
-71,124,7302.215732
-25,145,7302.856195
-18,21,7302.950841
-21,49,7303.167906
-61,127,7303.73551
-32,44,7303.933788
-1281.0,233,7305.022536
-33,129,7305.608414
-187,98,7306.084193
-44,95,7306.518957
-35,153,7307.215485
-175.0,170,7308.009597
-27,109,7308.500165
-21,33,7308.650467
-172,226,7309.688516
-30,112,7310.194478
-559,560,7312.826049
-22,58,7313.092184
-23,89,7313.493441
-27,76,7313.839371
-132,179,7314.664136
-36,63,7314.950865
-26,111,7315.442739
-47.0,16,7315.515565
-17,41,7315.699515
-17,24,7315.818069
-21,242,7316.899766
-22,87,7317.287972
-1377,1409,7324.126042
-38.0,35,7324.288025
-62,168,7325.051729
-22,133,7325.656208
-28.0,49,7325.87983
-188,204,7326.835395
-17,30,7326.97218
-33,102,7327.436187
-25,75,7327.777542
-26,44,7327.979562
-22,24,7328.09167
-102,349,7329.667819
-173.0,289,7330.996493
-35.0,53,7331.240632
-1338.0,296,7332.580604
-431.0,386,7334.306958
-24,54,7334.563558
-39,49,7334.791314
-341,379,7336.563665
-24,234,7337.620027
-18,71,7337.941318
-23,92,7338.355221
-35,69,7338.669561
-24,52,7338.904639
-29,50,7339.1424
-2052.0,1762,7369.000834
-138,214,7369.966594
-73,130,7370.553737
-377.0,515,7372.913216
-82,143,7373.57905
-47,77,7373.939353
-47,82,7374.316415
-25,93,7374.74767
-25,110,7375.246638
-29,38,7375.421438
-22,57,7375.678832
-39,60,7375.95442
-913,933,7380.45115
-1492.0,352,7382.121573
-24,262,7383.300611
-19,95,7383.730034
-209.0,301,7385.094926
-37,48,7385.313498
-1336.0,625,7388.270736
-68,73,7388.631869
-1263.0,333,7390.205418
-23,146,7390.863015
-21,101,7391.315137
-260.0,261,7392.55854
-265,363,7394.26076
-17,175,7395.050001
-17,60,7395.320093
-23,57,7395.577446
-116,162,7396.326213
-79,95,7396.765487
-48,73,7397.104161
-42,61,7397.387914
-18,22,7397.490176
-76,99,7397.96225
-1798.0,683,7401.23067
-194.0,228,7402.300809
-127.0,224,7403.32488
-48,56,7403.587444
-31,67,7403.893148
-79,275,7405.125407
-87,234,7406.185049
-95,131,7406.789525
-253,435,7408.828955
-17,142,7409.464932
-170,195,7410.372624
-89,123,7410.952561
-72,142,7411.599116
-18,40,7411.779691
-32,92,7433.86746
-31,126,7434.391644
-22,29,7434.514746
-29,36,7434.668736
-40,150,7435.291738
-59,185,7436.082389
-28,52,7436.310155
-37,51,7436.536175
-57,186,7437.350283
-72,144,7438.00224
-23,24,7438.111806
-20,115,7438.616685
-29,124,7439.166002
-55,231,7440.189166
-151,161,7440.940101
-53,76,7441.285096
-35,98,7441.726313
-80,255,7442.88988
-475.0,340,7444.4816
-18,176,7445.268316
-25,306,7446.62596
-26.0,60,7446.907437
-21,50,7447.133767
-23,34,7447.288122
-148,173,7448.089372
-26,44,7448.291353
-429,450,7450.410673
-19,60,7450.683454
-37,53,7450.928174
-63,76,7451.279432
-28,155,7451.985169
-24,117,7452.513446
-87,131,7453.120674
-24,74,7453.4558
-27,34,7453.614195
-27,39,7453.794461
-30,101,7454.25115
-111,129,7454.85088
-58,89,7455.258477
-66,163,7455.993161
-25,100,7456.453893
-30,39,7456.635222
-377,153,7457.335078
-334.0,268,7458.594451
-37,97,7459.0334
-111,116,7459.582864
-26,35,7459.7446
-72,80,7460.118558
-103,192,7461.013861
-23,166,7461.757814
-19,45,7461.960521
-52,68,7462.271454
-24,80,7462.632507
-115,158,7463.354879
-3150.0,1638,7471.29715
-216,440,7473.313086
-32,51,7473.54631
-112.0,146,7474.207883
-262.0,330,7475.735647
-18,34,7475.88923
-31,249,7477.002044
-18,89,7477.39942
-93,130,7477.99917
-25,45,7478.204406
-52,70,7478.526927
-60,214,7501.190313
-69.0,171,7501.908721
-19,91,7502.285804
-45,55,7502.522601
-105.0,69,7502.813531
-1034.0,947,7507.128832
-31,118,7507.656088
-47,60,7507.929807
-35,54,7508.173495
-18,93,7508.58456
-23,42,7508.773551
-1291.0,186,7509.632826
-532.0,528,7512.198362
-68,225,7513.225356
-22,77,7513.572451
-87,113,7514.099578
-38,49,7514.326402
-44,139,7514.974466
-33,70,7515.29663
-18,34,7515.453247
-44,87,7515.851133
-19,24,7515.961247
-110,323,7517.414439
-30,158,7518.11798
-22,60,7518.385155
-19,47,7518.595308
-25,51,7518.824819
-38,44,7519.026372
-17,95,7519.459791
-44,158,7520.174915
-2716.0,1998,7529.936765
-49,160,7530.671666
-73,188,7531.527909
-107,333,7533.036314
-35,55,7533.288455
-26,108,7533.781608
-39,87,7534.180368
-94,193,7535.0653
-34,39,7535.247873
-67,178,7536.062049
-34,257,7537.222109
-21,28,7537.353251
-49,326,7538.81287
-23,39,7538.988977
-18,67,7539.287452
-21,28,7539.415975
-19,128,7539.983572
-23,134,7540.577288
-20,87,7540.96444
-44,91,7541.377417
-147,194,7542.273489
-1311.0,108,7542.778655
-21,43,7542.973496
-138,306,7544.367339
-79,339,7545.898624
-58.0,182,7546.718399
-18,65,7547.011809
-467,468,7570.772395
-38,76,7571.10426
-26,28,7571.227491
-20,55,7571.464253
-222,268,7572.671631
-197,223,7573.693333
-31,95,7574.116758
-21,49,7574.337435
-18,101,7574.78636
-45,60,7575.064028
-34,37,7575.234999
-44,214,7576.189179
-18,84,7576.567753
-40,103,7577.035805
-40,121,7577.585402
-27,81,7577.960212
-29.0,36,7578.1243
-1763.0,385,7579.970072
-26,30,7580.110183
-181,188,7581.002352
-945,946,7585.636452
-65,85,7586.041635
-57,76,7586.399608
-20,116,7586.930373
-48,75,7587.276338
-107,230,7588.344748
-20,48,7588.56574
-24,48,7588.784642
-22,35,7588.9449
-18,86,7589.329006
-27.0,157,7590.027617
-140,159,7590.767171
-25,139,7591.392414
-23,125,7591.954399
-39,98,7592.409036
-21,171,7593.179651
-73,99,7593.642581
-21,29,7593.77701
-65.0,72,7594.108586
-27,47,7594.323359
-49,64,7594.620008
-262.0,224,7595.668725
-44,282,7596.9494
-109,174,7597.743621
-80.0,150,7598.419414
-2630.0,634,7601.444444
-20,33,7601.598114
-77,106,7602.096076
-375,377,7603.883405
-117,121,7604.459084
-38,39,7604.641644
-90,202,7605.572852
-410,566,7608.211795
-27,145,7608.859154
-23,161,7609.572609
-19,58,7609.831288
-39,85,7610.212834
-232,257,7611.412217
-276,477,7613.613533
-29,119,7614.151587
-37,51,7614.386525
-30,35,7614.550536
-63,133,7615.156059
-84,100,7637.259259
-245,380,7638.874504
-32,94,7639.277529
-17,19,7639.360946
-20,84,7639.722833
-24,117,7640.224938
-57.0,70,7640.528256
-18,104,7640.977477
-111,179,7641.786102
-79.0,49,7642.005677
-281.0,169,7642.761218
-322,341,7644.339762
-18,56,7644.589435
-30,122,7645.134106
-18,36,7645.297038
-25,33,7645.448039
-21,84,7645.832712
-87,158,7646.54971
-34,119,7647.087694
-114,281,7648.35065
-22,159,7649.050978
-477.0,246,7650.15196
-20,97,7650.593705
-21,146,7651.243137
-18,107,7651.7171
-70,272,7652.927126
-31,33,7653.078584
-31,68,7653.38172
-1325.0,119,7653.923762
-26,33,7654.073999
-55,67,7654.38058
-152,206,7655.339139
-246,366,7657.025316
-167.0,148,7657.700569
-27,115,7658.220793
-130,153,7658.941131
-21,29,7659.072994
-24,40,7659.255149
-50,78,7659.620944
-172.0,183,7660.46667
-18.0,65,7660.758689
-29,311,7662.143835
-64,78,7662.507025
-37.0,99,7662.950922
-40,196,7663.829138
-86,104,7664.324321
-25,124,7664.882854
-150,156,7665.612114
-182,384,7667.364251
-61,100,7667.825941
-251,285,7669.164454
-57,110,7669.670421
-2273.0,2016,7679.266282
-22,94,7679.692604
-40.0,79,7680.053884
-22,58,7680.315635
-73,84,7680.705668
-19,34,7680.861558
-25,82,7681.23164
-2678.0,1556,7710.010808
-59.0,100,7710.462266
-23,35,7710.622095
-20,102,7711.075289
-17,135,7711.670643
-1626.0,519,7714.145502
-458,518,7716.601679
-1635.0,1699,7724.620475
-31,105,7725.098338
-31,88,7725.494421
-20,31,7725.634415
-121.0,109,7726.137699
-30,37,7726.307919
-23,47,7726.52136
-51.0,67,7726.833483
-30,65,7727.129038
-23,26,7727.249915
-65,106,7727.748036
-89,237,7728.826555
-21,188,7729.661074
-16,41,7729.845338
-22,278,7731.076565
-24,95,7731.497795
-18,72,7731.816937
-32,49,7732.0516
-20,30,7732.187963
-28,100,7732.632828
-465,510,7735.005251
-19,127,7735.574789
-137,229,7736.620121
-22,109,7737.11692
-20,107,7737.595846
-55,75,7737.939414
-20,99,7738.382346
-28,34,7738.538153
-295.0,336,7740.080106
-19,27,7740.203814
-28,38,7740.380227
-20,71,7740.697347
-3953.0,841,7744.856295
-22,72,7745.186035
-35,86,7745.58043
-34,54,7745.829692
-133.0,198,7746.754032
-39,48,7746.97704
-28,161,7747.700896
-62,79,7748.06283
-31,230,7749.085051
-71,98,7749.5313
-68,115,7750.050748
-49,72,7750.378536
-22,183,7772.821664
-27,28,7772.941934
-646,703,7776.071115
-19,136,7776.662412
-22,117,7777.185953
-38,70,7777.495213
-92,122,7778.043472
-22,97,7778.470537
-18,29,7778.600151
-89,93,7779.027915
-242,284,7780.334512
-43,126,7780.90494
-110,176,7781.730633
-267,333,7783.295151
-29,159,7784.004698
-28,29,7784.138373
-19,45,7784.341323
-79,152,7785.027963
-28,73,7785.355726
-42.0,61,7785.626627
-62.0,67,7785.941352
-19,45,7786.145325
-49,73,7786.479703
-35.0,53,7786.720701
-92,105,7787.209711
-20,78,7787.562072
-28,45,7787.766822
-33,60,7788.038876
-257.0,350,7789.650174
-75,90,7790.062616
-19,116,7790.595001
-21,94,7791.015896
-276.0,157,7791.744325
-41,224,7792.74373
-20,38,7792.915598
-471.0,245,7794.043858
-19,28,7794.170835
-31,171,7794.941629
-29,52,7795.178021
-26,92,7795.590904
-17,18,7795.673759
-23,42,7795.864526
-68,117,7796.396914
-276,575,7799.005261
-111.0,118,7799.557509
-21,167,7800.30583
-19,26,7800.4247
-22,207,7801.34799
-19,32,7801.493376
-41,93,7801.915177
-339,421,7803.852238
-43,76,7804.20675
-58.0,66,7804.50918
-20,54,7804.756421
-20,59,7805.024954
-464,560,7807.647096
-52,75,7808.000494
-55,129,7808.588991
-23,24,7808.709018
-27,52,7808.946223
-178,204,7809.88909
-210.0,274,7811.151915
-27,28,7811.281405
-131,152,7811.993277
-20.0,21,7812.09045
-19,37,7812.26022
-140,460,7814.340656
-31,186,7815.168132
-19,25,7815.281633
-229.0,231,7816.349108
-31,172,7817.116334
-27,41,7817.302204
-34,188,7839.880834
-459.0,445,7841.801685
-164,173,7842.582186
-41,59,7842.84394
-24,169,7843.576432
-52,109,7844.092855
-20,31,7844.22606
-39,324,7845.595499
-140,307,7846.941201
-41,71,7847.255965
-577.0,596,7850.005809
-157,472,7852.112357
-24,54,7852.353437
-35,239,7853.424223
-19,70,7853.737067
-33,41,7853.925789
-19,51,7854.156289
-51,80,7854.521582
-52,91,7854.939369
-29,52,7855.176725
-67,72,7855.508825
-1408.0,267,7856.765419
-17,53,7857.005922
-23,37,7857.176147
-66,119,7858.187868
-122,251,7859.754111
-21,62,7860.033755
-175,424,7861.921615
-45,193,7862.757361
-35,76,7863.099167
-28,47,7863.304867
-27,116,7863.811349
-65,92,7864.222924
-67,101,7864.673093
-17,70,7864.977657
-21,55,7865.217633
-219,276,7866.458402
-41,119,7866.977878
-19,33,7867.122301
-51,82,7867.494917
-28,55,7867.735029
-228.0,288,7869.042619
-426.0,546,7871.491593
-125,155,7872.203923
-30,246,7873.268272
-81,101,7873.720145
-31,117,7874.228779
-68,121,7874.761084
-290.0,220,7875.755262
-19,112,7876.248111
-37,85,7876.619354
-40,58,7876.877094
-1330.0,926,7881.17525
-53,158,7881.876185
-69,91,7882.286977
-25,72,7882.602082
-71,119,7883.129791
-25,69,7883.431863
-324.0,334,7884.953269
-220,253,7907.711995
-20,36,7907.860099
-19,89,7908.220913
-59,137,7908.782007
-24,27,7908.895668
-29,53,7909.118384
-30,164,7909.800564
-72,131,7910.361783
-23,33,7910.503005
-58,125,7911.038406
-301.0,292,7912.344918
-1567.0,329,7913.808059
-253,516,7916.087281
-65,106,7916.555168
-20,48,7916.765959
-53,114,7917.265805
-126,144,7917.920233
-22,24,7918.028148
-68,112,7918.527538
-155,156,7919.247253
-86.0,231,7920.268723
-43,110,7920.747948
-19,79,7921.091044
-165,230,7922.131593
-17,39,7922.302738
-76,224,7923.280173
-177,464,7925.326281
-36.0,38,7925.491094
-19,31,7925.626637
-103,163,7926.346445
-23,27,7926.466533
-22,137,7927.059187
-20,46,7927.26063
-104,191,7928.1068
-26.0,51,7928.328868
-55,67,7928.626025
-86.0,203,7929.524865
-39,172,7930.269834
-65,66,7930.56591
-95.0,92,7930.970997
-21,31,7931.109348
-77,88,7931.505001
-339,345,7933.077266
-113,158,7933.79522
-32,53,7934.031053
-193.0,174,7934.828653
-3148.0,1104,7939.895076
-66,75,7940.237541
-27,35,7940.397533
-22,45,7940.598175
-235.0,275,7941.83346
-45,195,7942.690065
-47,86,7943.067651
-22,24,7943.174788
-283,396,7944.928199
-48,57,7945.183153
-21,93,7945.587112
-1187.0,1116,7950.700935
-111,240,7973.405504
-102.0,93,7973.798909
-64,206,7974.634558
-20,35,7974.778227
-24,81,7975.107983
-35,159,7975.769319
-58.0,115,7976.25756
-65,77,7976.590463
-38,146,7977.203207
-45.0,95,7977.61947
-22,57,7977.86201
-25,33,7978.005379
-18,20,7978.091976
-210,238,7979.149643
-49.0,97,7979.571585
-22,91,7979.961193
-25,42,7980.144764
-39,157,7980.822303
-23,24,7980.928617
-19,65,7981.209616
-18,64,7981.488674
-29,106,7981.955703
-332,345,7983.517169
-65,85,7983.898059
-18,66,7984.184461
-18,102,7984.62693
-30,171,7985.363956
-59,238,7986.400239
-31,120,7986.918879
-101,192,7987.758417
-27,76,7988.087251
-55,173,7988.837818
-80,202,7989.715016
-18,24,7989.820456
-21,60,7990.082053
-20,38,7990.247759
-110.0,49,7990.474611
-73,144,7991.107357
-20,162,7991.804441
-40,219,7992.749991
-59,346,7994.239983
-69,128,7994.809251
-62,87,7995.193958
-32,37,7995.361756
-18,53,7995.591765
-19,24,7995.700218
-42,102,7996.145401
-134,240,7997.20885
-43,55,7997.453449
-24,127,7998.001558
-25,329,7999.416591
-20,80,7999.761426
-61,63,8000.043687
-36,229,8001.024694
-44,139,8001.626527
-17,39,8001.796103
-16,282,8003.002752
-34,56,8003.247249
-24,62,8003.525647
-43,60,8003.790412
-102,122,8004.33506
-75,194,8005.180136
-19,30,8005.312602
-1661.0,1044,8010.142921
-1323.0,181,8010.9728
-1577.0,472,8013.119825
-278.0,315,8014.559524
-45,64,8014.84589
-35.0,100,8015.28475
-159,162,8016.017301
-243.0,339,8039.183354
-62,252,8040.202509
-42,51,8040.414957
-47,48,8040.620285
-21,29,8040.743496
-68,256,8041.816319
-29,102,8042.24744
-24,27,8042.364247
-52.0,92,8042.756016
-63,208,8043.651973
-26.0,50,8043.865745
-30,50,8044.084433
-149,206,8044.989512
-55,160,8045.676767
-24,75,8046.000073
-28,153,8046.654238
-21,114,8047.145352
-69,112,8047.645403
-23,75,8047.970179
-30,81,8048.322299
-113,126,8048.883558
-46,70,8049.1989
-28,126,8049.744653
-22,77,8050.080108
-323.0,213,8051.01562
-57,198,8051.881831
-248.0,353,8053.440358
-23,67,8053.729579
-51,96,8054.151635
-18,53,8054.381536
-29,63,8054.656326
-275.0,82,8055.022612
-58,129,8055.587798
-290,354,8057.185459
-234,523,8059.465649
-39,107,8059.929039
-21,72,8060.240166
-287.0,301,8061.622739
-69,122,8062.15836
-18,48,8062.369606
-33,56,8062.616389
-76,116,8063.127296
-17,89,8063.511853
-104,136,8064.119231
-18,54,8064.355768
-68,188,8065.188067
-29,35,8065.343427
-55,111,8065.829821
-23,168,8066.550119
-26,31,8066.687058
-34,120,8067.201914
-37,295,8068.466182
-19,37,8068.627623
-58,138,8069.226195
-69,79,8069.59583
-18,50,8069.814012
-18,43,8070.002912
-22,55,8070.243154
-74,178,8071.021529
-73.0,78,8071.364473
-151,160,8072.093709
-46,75,8072.423877
-20,83,8072.787056
-46,134,8073.380284
-25,204,8074.27673
-25,33,8074.423814
-23,173,8075.168935
-760,804,8078.864746
-124,127,8079.449188
-39.0,51,8079.685105
-43,129,8080.254523
-31,34,8080.407678
-52.0,79,8080.758613
-54,329,8082.179733
-27,42,8082.365135
-496.0,379,8105.683316
-34,171,8106.402079
-207.0,307,8107.753732
-19,117,8108.263743
-1542.0,1455,8115.139329
-20,118,8115.680518
-47,63,8115.971491
-44,55,8116.220483
-122,125,8116.798616
-68,71,8117.131304
-17,82,8117.504724
-61,82,8117.883289
-19,128,8118.467258
-47,309,8119.865216
-1137.0,1195,8125.558692
-25,37,8125.733379
-19,57,8125.99845
-20,36,8126.166776
-452,379,8127.99021
-96,254,8129.144769
-21,113,8129.649008
-62,111,8130.161581
-25,40,8130.344335
-22,54,8130.586991
-21,87,8130.976005
-40,172,8131.731537
-104,435,8133.68723
-22,79,8134.040197
-17,57,8134.297762
-70,308,8135.688832
-30,72,8136.006205
-57.0,129,8136.589839
-136,155,8137.300297
-31,130,8137.866228
-33,294,8139.128263
-33,61,8139.395247
-18,24,8139.501462
-37,136,8140.090253
-127,163,8140.831316
-199,263,8142.044461
-30,82,8142.411368
-27,100,8142.849846
-37,40,8143.033822
-101,182,8143.857005
-19,67,8144.156018
-18,57,8144.413814
-72,150,8145.092983
-18,31,8145.234601
-222,240,8146.359172
-18,88,8146.761803
-18,32,8146.909035
-69,102,8147.378112
-94.0,99,8147.830221
-61,95,8148.262272
-76,92,8148.695903
-45,83,8149.081062
-48,285,8172.13245
-213,246,8173.167592
-57,85,8173.519719
-48,61,8173.774122
-26,149,8174.392675
-39,93,8174.784291
-17,145,8175.390046
-340,653,8178.240956
-25,166,8178.950681
-65,175,8179.712386
-17,65,8179.993718
-47,51,8180.222763
-24,118,8180.741202
-186,191,8181.623207
-47.0,64,8181.906081
-61,205,8182.802757
-21,191,8183.620586
-65,92,8184.030528
-156.0,401,8185.793055
-38,39,8185.968208
-171,187,8186.812552
-23,167,8187.534169
-19,23,8187.635877
-68,178,8188.410773
-31,97,8188.831459
-50,65,8189.119865
-53,60,8189.397144
-85,104,8189.875342
-26,106,8190.337249
-20,27,8190.458286
-30,64,8190.73918
-25,100,8191.171184
-31,92,8191.572152
-37,103,8192.021258
-18,88,8192.400183
-76,81,8192.773482
-25,53,8193.005242
-42,108,8193.483286
-103.0,120,8194.036434
-40,109,8194.516124
-73,186,8195.336693
-152,255,8196.466703
-52,134,8197.058477
-18,116,8197.561841
-26,38,8197.728867
-38,188,8198.548083
-33,34,8198.703127
-21,78,8199.04462
-37,68,8199.346757
-29,217,8200.27891
-80,120,8200.816868
-17,53,8201.049407
-69,99,8201.494802
-78,170,8202.246907
-22,61,8202.512881
-34,56,8202.771757
-32,52,8203.003155
-16,72,8203.318223
-153,196,8204.201274
-20,126,8204.749508
-17,50,8204.972179
-131,151,8205.651811
-103,114,8206.165298
-27,477,8208.224631
-18,121,8208.745415
-67,81,8209.10927
-24,25,8209.224651
-25,196,8210.065212
-251,259,8211.240893
-41,83,8211.616839
-193,215,8212.611236
-18,47,8212.818913
-431,456,8214.939642
-240.0,71,8215.266672
-266.0,427,8238.800683
-33,82,8239.13511
-42,294,8240.344583
-347.0,415,8242.19963
-107,117,8242.723756
-71,98,8243.155585
-27,88,8243.536245
-17,49,8243.75081
-18,71,8244.058633
-159,199,8244.946428
-46,315,8246.314601
-44,80,8246.669349
-31,81,8247.022669
-22,50,8247.240878
-50,174,8248.00163
-189,384,8249.683803
-22,34,8249.83471
-20,298,8251.121825
-170,222,8252.107526
-25,140,8252.711024
-24,89,8253.097861
-66,97,8253.539783
-48,166,8254.285959
-160,234,8255.368655
-43,47,8255.580948
-87.0,43,8255.774326
-120.0,107,8256.276461
-27,97,8256.721072
-21,139,8257.345071
-27,68,8257.658355
-44,139,8258.292411
-22,75,8258.626735
-1344.0,191,8259.506658
-39,51,8259.750846
-24.0,178,8260.542383
-30,50,8260.764738
-32,53,8261.002853
-2203.0,1355,8267.440229
-4193.0,1330,8273.796711
-19,26,8273.920288
-22,33,8274.082993
-471,769,8277.604402
-67,74,8277.954084
-73,76,8278.313816
-36,268,8279.536801
-170.0,148,8280.207368
-26,54,8280.445555
-17,60,8280.713424
-66,201,8281.597741
-34,108,8282.065726
-41,305,8305.10032
-1426.0,564,8307.56574
-18,75,8307.883504
-33,76,8308.211751
-42,277,8309.407184
-21,26,8309.523365
-775.0,520,8311.878959
-1458.0,406,8313.765258
-89,156,8314.463172
-26,328,8315.881697
-56,68,8316.182843
-89.0,117,8316.706462
-26,62,8316.976117
-32,38,8317.149229
-33,106,8317.612919
-20,25,8317.725482
-106,158,8318.440707
-23,149,8319.086879
-28,30,8319.221064
-137.0,286,8320.47565
-21,24,8320.582947
-30,49,8320.799145
-20,64,8321.07723
-46,103,8321.534051
-607.0,242,8322.631797
-430.0,62,8322.911933
-57,94,8323.33247
-39,121,8323.862706
-20,192,8324.703171
-32,127,8325.270831
