#{"t_start": 1693081991.9941504, "env_id": "gym_examples/Schedule-v0"}
r,l,t
-340.0,283,8541.136054
-37.0,24,8541.18678
-287.0,234,8541.562661
-147.0,102,8541.727988
-105.0,93,8541.87938
-177.0,135,8542.10019
-146.0,115,8542.28985
-63.0,42,8542.359855
-48.0,65,8542.464787
-56.0,43,8542.53448
-169.0,140,8542.76879
-131.0,95,8542.942437
-88.0,68,8543.055139
-72.0,55,8543.147925
-74.0,61,8543.249922
-48.0,45,8543.326118
-51.0,42,8543.396657
-83.0,60,8543.499442
-122.0,85,8543.644017
-51.0,27,8543.689528
-239.0,180,8544.001348
-335.0,230,8544.399517
-86.0,61,8544.505843
-62.0,39,8544.587653
-172.0,120,8544.800819
-114.0,90,8544.959471
-163.0,133,8545.194634
-91.0,69,8545.315079
-43.0,40,8545.3856
-144.0,106,8545.579887
-45.0,39,8545.650603
-59.0,41,8545.7274
-95.0,83,8545.883202
-69.0,41,8545.960228
-58.0,38,8546.031634
-68.0,44,8546.112316
-51.0,38,8546.182541
-171.0,113,8546.409152
-66.0,50,8546.503519
-77.0,56,8546.608371
-49.0,48,8546.69847
-48.0,38,8546.771573
-68.0,71,8546.903736
-105.0,60,8547.01684
-112.0,72,8547.150503
-53.0,25,8547.197476
-75.0,49,8547.290486
-117.0,75,8547.433192
-124.0,94,8547.611659
-121.0,84,8547.772739
-134.0,121,8548.005625
-58.0,46,8548.095018
-161.0,99,8548.298555
-180.0,138,8548.561667
-107.0,79,8548.712971
-138.0,108,8548.92434
-39.0,33,8548.985774
-67.0,62,8549.105481
-389.0,289,8549.669209
-123.0,85,8549.834237
-125.0,97,8550.023754
-75.0,45,8550.112152
-69.0,66,8550.252465
-59.0,39,8550.330486
-386.0,63,8550.454658
-173.0,112,8550.674298
-83.0,42,8550.756986
-65.0,35,8550.825182
-61.0,43,8550.912134
-81.0,53,8551.016089
-87.0,63,8551.140347
-50.0,42,8551.223387
-33.0,30,8551.281592
-197.0,142,8551.56233
-50.0,41,8551.643092
-160.0,134,8551.909948
-248.0,179,8552.279207
-124.0,76,8552.430925
-208.0,148,8552.728508
-93.0,61,8552.848778
-77.0,57,8552.963575
-105.0,67,8553.095705
-63.0,40,8553.175537
-55.0,32,8553.238959
-57.0,42,8553.323643
-62.0,65,8553.450992
-43.0,38,8553.525986
-147.0,115,8553.754113
-51.0,45,8553.8439
-53.0,41,8553.924546
-119.0,82,8554.089563
-70.0,39,8554.167611
-78.0,41,8554.26331
-66.0,56,8554.374047
-72.0,42,8554.458868
-46.0,40,8554.537885
-127.0,93,8554.724215
-157.0,117,8554.956313
-195.0,153,8555.262454
-28.0,28,8555.316016
-48.0,38,8555.39167
-187.0,154,8555.696104
-119.0,73,8555.841438
-323.0,91,8556.023649
-107.0,70,8556.163102
-69.0,50,8556.275947
-46.0,34,8556.342191
-167.0,135,8556.608483
-146.0,109,8556.825492
-102.0,80,8556.98487
-62.0,46,8557.077735
-52.0,33,8557.143596
-68.0,50,8557.240664
-239.0,165,8557.569391
-56.0,45,8557.657759
-277.0,201,8558.060902
-206.0,155,8561.771481
-108.0,74,8561.882242
-99.0,62,8561.974029
-51.0,31,8562.018896
-202.0,163,8562.265406
-44.0,39,8562.324572
-50.0,44,8562.389416
-137.0,103,8562.540865
-42.0,27,8562.580434
-159.0,95,8562.721922
-103.0,79,8562.838676
-72.0,58,8562.924397
-102.0,68,8563.026679
-85.0,68,8563.127346
-47.0,45,8563.209486
-53.0,43,8563.274582
-102.0,74,8563.386352
-48.0,46,8563.456677
-52.0,34,8563.513641
-46.0,41,8563.581497
-124.0,76,8563.708001
-22.0,12,8563.727669
-58.0,37,8563.789062
-88.0,77,8563.915911
-204.0,80,8564.048808
-55.0,35,8564.107295
-57.0,54,8564.199019
-56.0,51,8564.283927
-59.0,54,8564.373749
-155.0,108,8564.554656
-49.0,40,8564.623039
-48.0,39,8564.688369
-76.0,59,8564.785026
-62.0,39,8564.865032
-53.0,66,8564.976828
-234.0,162,8565.259082
-108.0,86,8565.406895
-45.0,30,8565.458433
-51.0,37,8565.524034
-44.0,25,8565.567355
-68.0,46,8565.648669
-177.0,126,8565.868574
-155.0,110,8566.063205
-130.0,93,8566.228323
-43.0,24,8566.270215
-45.0,40,8566.340257
-60.0,32,8566.397451
-27,31,8566.450097
-76.0,51,8566.539486
-37.0,24,8566.608574
-115.0,82,8566.759563
-105.0,81,8566.909782
-160.0,116,8567.125733
-83.0,72,8567.26003
-172.0,112,8567.469824
-110.0,85,8567.629628
-729.0,183,8567.97451
-121.0,102,8568.170069
-76.0,41,8568.24863
-242.0,188,8568.625881
-47.0,40,8568.701006
-62.0,53,8568.803246
-49.0,37,8568.875506
-104.0,76,8569.019931
-59.0,36,8569.090082
-43.0,32,8569.150924
-121.0,88,8569.322301
-135.0,93,8569.502408
-202.0,160,8569.814364
-200.0,137,8570.077603
-171.0,139,8570.351545
-112.0,85,8570.528984
-105.0,74,8570.674053
-52.0,38,8570.747125
-90.0,70,8570.880528
-77.0,49,8570.975217
-48.0,33,8571.040033
-115.0,92,8571.219744
-63.0,44,8571.306075
-341.0,259,8571.826419
-130.0,102,8572.029303
-159.0,136,8572.304122
-63.0,43,8572.389912
-370.0,208,8572.817906
-49.0,41,8572.900096
-72.0,40,8572.979376
-214.0,149,8573.277177
-435.0,343,8573.968914
-114.0,66,8574.102081
-94.0,69,8574.240755
-61.0,41,8574.322298
-132.0,102,8574.544449
-74.0,59,8574.661297
-544.0,127,8574.915719
-57.0,41,8574.99874
-133.0,91,8575.183093
-54.0,44,8575.270623
-105.0,95,8575.461074
-110.0,72,8575.604864
-54.0,37,8575.677835
-136.0,102,8575.880694
-427.0,236,8576.351827
-39.0,26,8576.402907
-71.0,71,8576.557275
-50.0,29,8576.615295
-145.0,119,8576.852112
-128.0,98,8577.046136
-79.0,57,8577.159922
-233.0,155,8577.470983
-225.0,161,8577.794732
-89.0,66,8577.926815
-74.0,33,8577.993673
-265.0,211,8578.416815
-77.0,47,8578.526421
-67.0,47,8578.621222
-62.0,39,8578.699471
-418.0,175,8579.049929
-122.0,83,8579.214515
-132.0,96,8579.406372
-65.0,43,8579.492485
-83.0,77,8579.644257
-126.0,83,8579.810646
-124.0,95,8579.998969
-133.0,97,8580.193248
-52.0,39,8580.26972
-167.0,104,8583.947324
-163.0,117,8584.124303
-144.0,92,8584.261662
-166.0,114,8584.430901
-206.0,160,8584.67432
-47.0,42,8584.736995
-129.0,99,8584.885731
-519.0,154,8585.120254
-97.0,83,8585.244645
-68.0,53,8585.323767
-43.0,40,8585.381922
-183.0,146,8585.62889
-93.0,59,8585.724532
-56.0,44,8585.795336
-204.0,135,8586.016842
-53.0,44,8586.090044
-60.0,55,8586.181487
-60.0,37,8586.242589
-54.0,40,8586.310741
-68.0,46,8586.387465
-76.0,48,8586.467026
-75.0,42,8586.537672
-109.0,83,8586.677401
-121.0,103,8586.852672
-58.0,40,8586.920288
-123.0,82,8587.058033
-42.0,33,8587.112607
-61.0,60,8587.227245
-92.0,58,8587.325903
-55.0,37,8587.389387
-121.0,95,8587.553481
-147.0,109,8587.740796
-49.0,28,8587.788967
-85.0,49,8587.873639
-46.0,57,8587.970675
-103.0,65,8588.083022
-60.0,51,8588.169445
-114.0,74,8588.298113
-68.0,50,8588.385
-99.0,66,8588.499146
-61.0,46,8588.576776
-52.0,43,8588.651687
-88.0,68,8588.771562
-66.0,35,8588.83414
-104.0,70,8588.97028
-58.0,36,8589.03414
-359.0,262,8589.511436
-79.0,58,8589.617551
-146.0,111,8589.826525
-132.0,92,8589.996948
-232.0,163,8590.301394
-66.0,38,8590.372225
-59.0,39,8590.444474
-57.0,36,8590.511774
-68.0,59,8590.620766
-246.0,166,8590.948566
-175.0,134,8591.20537
-62.0,57,8591.310891
-63.0,42,8591.39203
-51.0,31,8591.451128
-52.0,40,8591.5286
-42.0,30,8591.584847
-309.0,149,8591.870862
-61.0,45,8591.957438
-225.0,169,8592.283263
-131.0,103,8592.479362
-60.0,48,8592.569452
-171.0,115,8592.808057
-91.0,67,8592.939409
-64.0,38,8593.013884
-194.0,159,8593.322379
-59.0,41,8593.401939
-56.0,45,8593.489586
-141.0,101,8593.685655
-64.0,36,8593.755401
-64.0,40,8593.834471
-49.0,30,8593.893337
-54.0,49,8593.989836
-55.0,37,8594.061977
-89.0,88,8594.230552
-54.0,36,8594.303012
-337.0,227,8594.760725
-47.0,37,8594.835675
-98.0,76,8594.989381
-111.0,80,8595.150134
-42.0,26,8595.201865
-81.0,63,8595.322835
-58.0,39,8595.399501
-84.0,57,8595.511238
-203.0,169,8595.84723
-129.0,101,8596.047365
-53.0,47,8596.140195
-27.0,25,8596.187754
-64.0,52,8596.287344
-79.0,52,8596.389447
-152.0,106,8596.609379
-57.0,62,8596.726046
-50.0,36,8596.79638
-106.0,94,8596.976051
-48.0,46,8597.06577
-111.0,92,8597.246444
-154.0,103,8597.44658
-91.0,65,8597.571564
-390.0,279,8598.117728
-168.0,150,8598.414032
-109.0,69,8598.549979
-178.0,115,8598.792899
-157.0,121,8599.036958
-101.0,65,8599.167138
-196.0,137,8599.44142
-117.0,96,8599.632128
-57.0,34,8599.699419
-158.0,114,8599.924634
-46.0,39,8600.000332
-99.0,79,8600.158477
-101.0,98,8600.350855
-66.0,65,8600.478381
-204.0,171,8600.83085
-50.0,30,8600.891045
-64.0,50,8600.990471
-106.0,86,8601.161018
-295.0,192,8601.538988
-142.0,116,8601.771526
-47.0,36,8601.843292
-42.0,25,8601.892563
-74.0,58,8602.006126
-56.0,49,8602.104848
-42.0,21,8602.146594
-185.0,127,8602.400838
-42.0,36,8602.469995
-68.0,49,8605.948583
-51.0,37,8606.004821
-245.0,176,8606.269308
-51.0,38,8606.326231
-149.0,119,8606.506352
-261.0,199,8606.805106
-95.0,65,8606.901062
-52.0,33,8606.949841
-102.0,85,8607.075309
-72.0,70,8607.179651
-52.0,44,8607.245498
-75.0,43,8607.309678
-288.0,181,8607.596155
-42.0,32,8607.645683
-95.0,66,8607.754278
-219.0,185,8608.061327
-140.0,100,8608.229859
-51.0,43,8608.299048
-70.0,35,8608.357264
-304.0,232,8608.748789
-56.0,45,8608.824244
-73.0,54,8608.916609
-52.0,37,8608.977592
-246.0,178,8609.297381
-78.0,60,8609.399559
-43.0,39,8609.465926
-117.0,87,8609.616323
-196.0,164,8609.899928
-58.0,48,8609.984258
-66.0,54,8610.078489
-215.0,152,8610.347763
-116.0,100,8610.521777
-89.0,58,8610.622465
-107.0,69,8610.745373
-50.0,33,8610.80398
-47.0,39,8610.888492
-121.0,87,8611.044099
-98.0,50,8611.137137
-55.0,40,8611.212185
-50.0,39,8611.285367
-50.0,45,8611.370667
-342.0,278,8611.893719
-100.0,64,8612.014615
-162.0,133,8612.265473
-104.0,72,8612.403071
-317.0,238,8612.873369
-112.0,93,8613.051553
-42.0,26,8613.101094
-94.0,74,8613.240931
-172.0,147,8613.523603
-99.0,75,8613.670408
-39.0,28,8613.723066
-85.0,62,8613.840497
-479.0,362,8614.539696
-65.0,43,8614.623516
-132.0,93,8614.81711
-56.0,40,8614.896065
-37.0,31,8614.953789
-51.0,40,8615.031667
-168.0,122,8615.269705
-161.0,111,8615.486598
-245.0,185,8615.848712
-170.0,125,8616.092965
-70.0,41,8616.173034
-307.0,156,8616.476378
-43.0,38,8616.55148
-357.0,290,8617.137024
-78.0,65,8617.263758
-112.0,85,8617.433794
-54.0,50,8617.530403
-143.0,115,8617.758528
-53.0,39,8617.835207
-57.0,32,8617.899245
-52.0,35,8617.967668
-121.0,80,8618.12858
-174.0,117,8618.361256
-67.0,62,8618.485232
-95.0,66,8618.615687
-50.0,42,8618.713457
-47.0,34,8618.779843
-76.0,72,8618.921457
-106.0,104,8619.126543
-228.0,163,8619.451489
-50.0,40,8619.530264
-50.0,29,8619.586538
-160.0,116,8620.022955
-72.0,66,8620.293923
-216.0,166,8620.862989
-57.0,45,8620.990289
-89.0,73,8621.196333
-108.0,82,8621.455067
-267.0,190,8621.865715
-63.0,38,8621.94229
-149.0,125,8622.195778
-141.0,89,8622.371469
-405.0,209,8622.783798
-126.0,104,8622.985919
-59.0,47,8623.078081
-91.0,65,8623.206981
-63.0,42,8623.288056
-70.0,45,8623.37498
-170.0,114,8623.615193
-43.0,24,8623.662967
-116.0,95,8623.846219
-223.0,174,8624.188987
-354.0,281,8624.739874
-57.0,43,8624.825064
-246.0,191,8625.200422
-52.0,42,8625.279526
-46.0,37,8625.351481
-69.0,53,8628.813572
-49.0,49,8628.883906
-58.0,46,8628.950481
-175.0,128,8629.138897
-126.0,99,8629.284533
-45.0,35,8629.336391
-53.0,42,8629.396454
-27.0,21,8629.426351
-133.0,109,8629.583803
-74.0,42,8629.645088
-65.0,55,8629.72422
-85.0,54,8629.804805
-375.0,202,8630.103766
-38.0,28,8630.143108
-102.0,70,8630.258859
-76.0,48,8630.329053
-55.0,37,8630.384338
-67.0,44,8630.451979
-119.0,85,8630.590206
-277.0,186,8630.891894
-59.0,39,8630.955618
-56.0,42,8631.023806
-243.0,194,8631.340022
-60.0,35,8631.397207
-61.0,42,8631.465599
-195.0,129,8631.680245
-65.0,44,8631.752432
-199.0,150,8632.014986
-123.0,68,8632.130236
-58.0,49,8632.212915
-89.0,74,8632.337147
-77.0,49,8632.418972
-52.0,44,8632.494352
-213.0,172,8632.787486
-218.0,131,8633.00879
-101.0,80,8633.143722
-63.0,49,8633.226071
-72.0,53,8633.316262
-62.0,36,8633.377313
-63.0,50,8633.463867
-77.0,62,8633.568856
-142.0,111,8633.774257
-93.0,73,8633.902106
-96.0,69,8634.022717
-95.0,64,8634.134627
-65.0,34,8634.194611
-220.0,154,8634.467302
-202.0,152,8634.74618
-81.0,69,8634.871195
-174.0,127,8635.104012
-67.0,47,8635.191205
-203.0,149,8635.481838
-135.0,112,8635.687611
-164.0,113,8635.89721
-50.0,38,8635.96711
-50.0,47,8636.053185
-58.0,38,8636.12265
-45.0,27,8636.172141
-204.0,142,8636.43463
-158.0,90,8636.602718
-70.0,48,8636.690903
-44.0,27,8636.741296
-286.0,224,8637.165101
-65.0,45,8637.250139
-134.0,106,8637.463383
-205.0,167,8637.781006
-251.0,191,8638.144634
-15.0,16,8638.173728
-58.0,55,8638.277566
-267.0,117,8638.500349
-106.0,68,8638.6325
-69.0,40,8638.709857
-185.0,138,8638.978479
-45.0,27,8639.030232
-75.0,66,8639.155662
-47.0,37,8639.240738
-53.0,55,8639.346039
-94.0,71,8639.483288
-229.0,173,8639.81736
-77.0,58,8639.926684
-43.0,38,8639.998431
-146.0,105,8640.200179
-53.0,41,8640.279181
-48.0,41,8640.35713
-126.0,98,8640.546313
-50.0,44,8640.631403
-250.0,173,8640.966198
-52.0,40,8641.04342
-245.0,174,8641.397994
-61.0,46,8641.488841
-56.0,43,8641.57416
-51.0,36,8641.645363
-57.0,38,8641.720785
-126.0,98,8641.91422
-98.0,84,8642.079136
-54.0,42,8642.161164
-43.0,31,8642.22052
-199.0,68,8642.357001
-56.0,44,8642.44364
-303.0,211,8642.856388
-62.0,44,8642.940297
-90.0,70,8643.074912
-68.0,37,8643.162055
-92.0,68,8643.294476
-160.0,113,8643.512387
-199.0,160,8643.82078
-43.0,27,8643.872082
-115.0,86,8644.039101
-57.0,37,8644.11238
-27.0,35,8644.177264
-101.0,73,8644.317788
-61.0,40,8644.39517
-56.0,40,8644.47124
-276.0,227,8644.914073
-39.0,27,8644.965147
-226.0,149,8645.274194
-165.0,131,8645.530419
-139.0,119,8645.763493
-60.0,45,8645.85183
-92.0,66,8645.981515
-78.0,35,8646.050265
-186.0,146,8646.336808
-118.0,105,8646.537293
-191.0,128,8646.781207
-79.0,54,8646.883388
-134.0,99,8650.427875
-115.0,92,8650.563154
-48.0,29,8650.604578
-206.0,138,8650.805078
-116.0,109,8650.963494
-55.0,46,8651.029696
-328.0,236,8651.374387
-59.0,41,8651.434986
-67.0,51,8651.509384
-68.0,42,8651.569484
-51.0,38,8651.622923
-62.0,46,8651.689295
-333.0,235,8652.06501
-42.0,24,8652.102997
-65.0,59,8652.19463
-363.0,274,8652.63873
-50.0,46,8652.710171
-27.0,21,8652.743229
-145.0,109,8652.919133
-114.0,72,8653.038182
-190.0,139,8653.267899
-97.0,82,8653.404624
-275.0,215,8653.775551
-71.0,63,8653.879849
-76.0,53,8653.969296
-46.0,44,8654.042962
-59.0,50,8654.126521
-160.0,123,8654.335078
-57.0,35,8654.394295
-61.0,44,8654.468401
-241.0,177,8654.769458
-56.0,39,8654.836356
-129.0,97,8655.003528
-167.0,120,8655.223929
-75.0,46,8655.303072
-49.0,41,8655.375617
-49.0,44,8655.451581
-60.0,34,8655.510563
-145.0,132,8655.739586
-77.0,56,8655.836987
-62.0,53,8655.928603
-136.0,107,8656.113596
-61.0,46,8656.191861
-241.0,201,8656.556756
-78.0,72,8656.686262
-60.0,47,8656.772791
-38.0,42,8656.845802
-158.0,123,8657.083794
-99.0,74,8657.217954
-81.0,75,8657.356712
-59.0,48,8657.446768
-113.0,69,8657.574467
-166.0,114,8657.784898
-50.0,35,8657.849682
-122.0,80,8657.998965
-64.0,39,8658.072485
-120.0,85,8658.229205
-49.0,44,8658.309976
-113.0,90,8658.480076
-59.0,40,8658.554206
-418.0,301,8659.135647
-50.0,46,8659.222517
-200.0,157,8659.522021
-158.0,112,8659.731391
-71.0,58,8659.842013
-53.0,42,8659.921837
-119.0,97,8660.106754
-160.0,108,8660.312576
-50.0,40,8660.387308
-102.0,93,8660.565512
-216.0,149,8660.864672
-51.0,30,8660.921958
-226.0,182,8661.270848
-56.0,52,8661.371011
-238.0,198,8661.751892
-45.0,41,8661.831686
-50.0,43,8661.911767
-321.0,86,8662.076986
-53.0,37,8662.148774
-169.0,114,8662.36977
-112.0,74,8662.510923
-213.0,161,8662.834279
-50.0,43,8662.917593
-124.0,100,8663.110591
-226.0,162,8663.424302
-155.0,128,8663.674995
-327.0,226,8664.111974
-96.0,61,8664.227909
-48.0,38,8664.298468
-55.0,29,8664.353552
-101.0,64,8664.477933
-56.0,34,8664.541835
-48.0,27,8664.594137
-114.0,91,8664.780438
-54.0,40,8664.857615
-49.0,32,8664.917641
-67.0,32,8664.979893
-60.0,41,8665.059379
-158.0,117,8665.283831
-27.0,26,8665.332132
-60.0,49,8665.426742
-203.0,134,8665.686612
-101.0,78,8665.836643
-65.0,50,8665.934663
-166.0,116,8666.157861
-146.0,103,8666.356479
-792.0,414,8667.172078
-205.0,133,8667.426648
-63.0,56,8667.533641
-106.0,80,8667.691665
-359.0,262,8668.204544
-251.0,198,8671.925209
-46.0,30,8671.968804
-76.0,59,8672.05487
-98.0,68,8672.154805
-92.0,64,8672.248346
-56.0,37,8672.303081
-152.0,100,8672.451559
-49.0,40,8672.512074
-52.0,46,8672.580845
-78.0,52,8672.658755
-47.0,40,8672.719101
-119.0,85,8672.848356
-65.0,46,8672.917902
-60.0,48,8672.99157
-66.0,34,8673.043286
-149.0,123,8673.23147
-255.0,211,8673.57271
-69.0,41,8673.636963
-108.0,87,8673.774799
-98.0,75,8673.894096
-97.0,60,8673.989778
-51.0,29,8674.034619
-105.0,83,8674.163964
-96.0,50,8674.243194
-55.0,39,8674.306536
-203.0,137,8674.526873
-51.0,37,8674.587255
-59.0,37,8674.647012
-127.0,90,8674.794262
-38.0,40,8674.856473
-57.0,46,8674.932169
-49.0,34,8675.002419
-105.0,72,8675.120858
-81.0,59,8675.2183
-108.0,104,8675.38782
-45.0,39,8675.451456
-121.0,99,8675.614389
-64.0,44,8675.687748
-53.0,35,8675.747114
-109.0,99,8675.912592
-99.0,74,8676.036548
-99.0,79,8676.168992
-128.0,95,8676.330746
-52.0,45,8676.406091
-267.0,196,8676.753472
-177.0,132,8676.980354
-192.0,136,8677.213667
-131.0,101,8677.385665
-66.0,46,8677.465829
-97.0,72,8677.589392
-388.0,278,8678.074001
-234.0,199,8678.446329
-49.0,44,8678.527545
-48.0,44,8678.608743
-146.0,136,8678.856487
-85.0,78,8678.997279
-76.0,42,8679.075544
-55.0,54,8679.175241
-45.0,36,8679.242435
-98.0,62,8679.355885
-63.0,49,8679.445961
-55.0,34,8679.508786
-79.0,54,8679.607712
-70.0,52,8679.703696
-49.0,42,8679.782382
-192.0,131,8680.027232
-52.0,44,8680.109116
-65.0,45,8680.193703
-70.0,51,8680.302452
-51.0,27,8680.351876
-171.0,126,8680.588052
-50.0,31,8680.645028
-58.0,40,8680.721153
-63.0,36,8680.78902
-75.0,49,8680.880957
-198.0,140,8681.144686
-116.0,85,8681.302944
-50.0,34,8681.366922
-265.0,197,8681.739241
-113.0,60,8681.852398
-268.0,159,8682.153761
-46.0,44,8682.249411
-276.0,181,8682.598152
-167.0,122,8682.830113
-44.0,37,8682.90071
-44.0,30,8682.956912
-101.0,69,8683.089826
-145.0,103,8683.287055
-44.0,29,8683.341144
-48.0,28,8683.394203
-172.0,118,8683.617805
-43.0,31,8683.675963
-213.0,135,8683.934
-158.0,133,8684.20235
-52.0,39,8684.278644
-120.0,84,8684.441082
-89.0,90,8684.610375
-42.0,26,8684.659587
-59.0,47,8684.74854
-204.0,171,8685.075014
-136.0,97,8685.262204
-59.0,43,8685.345297
-79.0,68,8685.472481
-43.0,41,8685.55042
-58.0,37,8685.621627
-60.0,48,8685.713828
-129.0,114,8685.933397
-203.0,147,8686.232714
-53.0,35,8686.303322
-318.0,250,8686.789897
-103.0,76,8686.93978
-95.0,64,8687.065026
-103.0,78,8687.216525
-60.0,35,8687.286421
-135.0,113,8687.506998
-49.0,40,8687.586643
-47.0,34,8687.65367
-258.0,186,8688.0322
-68.0,50,8688.131469
-61.0,42,8688.214351
-50.0,55,8688.32101
-46.0,41,8688.400256
-123.0,71,8688.535293
-98.0,67,8688.663897
-52.0,26,8688.71349
-51.0,54,8688.814603
-62.0,40,8688.891052
-69.0,52,8688.990082
-73.0,55,8689.095666
-83.0,58,8689.207752
-108.0,78,8689.358175
-82.0,60,8689.472692
-42.0,44,8689.556505
-63.0,32,8689.617373
-68.0,46,8689.705919
-174.0,120,8693.286001
-53.0,53,8693.362964
-192.0,148,8693.577979
-147.0,119,8693.751804
-72.0,41,8693.809964
-180.0,135,8694.005438
-67.0,46,8694.072153
-122.0,80,8694.188224
-266.0,222,8694.511756
-60.0,45,8694.577164
-94.0,72,8694.6874
-215.0,161,8694.95383
-227.0,169,8695.224192
-127.0,102,8695.388823
-232.0,165,8695.654178
-55.0,72,8695.766325
-218.0,131,8695.981042
-27.0,22,8696.016022
-46.0,61,8696.113927
-195.0,131,8696.328986
-69.0,34,8696.399466
-276.0,226,8696.77462
-95.0,76,8696.902051
-310.0,225,8697.281884
-252.0,184,8697.596937
-55.0,46,8697.675225
-121.0,99,8697.843231
-81.0,62,8697.948806
-122.0,103,8698.138577
-61.0,45,8698.213971
-336.0,221,8698.597558
-163.0,118,8698.801947
-249.0,177,8699.109706
-62.0,44,8699.184445
-56.0,44,8699.265663
-53.0,52,8699.360967
-58.0,40,8699.434586
-140.0,110,8699.636198
-45.0,35,8699.699241
-85.0,63,8699.812701
-105.0,81,8699.973125
-334.0,249,8700.437712
-95.0,86,8700.596155
-57.0,51,8700.690516
-88.0,41,8700.766847
-162.0,100,8700.952226
-42.0,28,8701.003348
-53.0,40,8701.078512
-114.0,78,8701.222576
-47.0,38,8701.292689
-55.0,46,8701.378258
-269.0,210,8701.790264
-113.0,92,8701.963317
-74.0,58,8702.071462
-27.0,23,8702.113813
-174.0,108,8702.318214
-71.0,52,8702.416431
-21.0,9,8702.433446
-87.0,62,8702.551556
-158.0,115,8702.767087
-66.0,40,8702.842703
-167.0,109,8703.048975
-188.0,139,8703.311654
-51.0,32,8703.372891
-152.0,118,8703.599112
-94.0,102,8703.807163
-171.0,145,8704.082221
-171.0,124,8704.316972
-241.0,201,8704.703085
-46.0,49,8704.79485
-192.0,136,8705.05515
-60.0,38,8705.127928
-61.0,40,8705.202577
-225.0,187,8705.571804
-58.0,39,8705.648142
-65.0,45,8705.73288
-107.0,86,8705.898662
-209.0,176,8706.236996
-260.0,186,8706.594137
-85.0,64,8706.715374
-95.0,74,8706.856613
-121.0,90,8707.02852
-112.0,82,8707.185678
-57.0,33,8707.249373
-113.0,96,8707.43355
-47.0,38,8707.523186
-382.0,278,8708.063105
-56.0,46,8708.151237
-50.0,58,8708.260428
-56.0,40,8708.336982
-151.0,110,8708.551462
-51.0,30,8708.609017
-53.0,40,8708.683976
-127.0,77,8708.832266
-100.0,89,8709.003358
-106.0,78,8709.150374
-163.0,115,8709.36925
-140.0,116,8709.605106
-96.0,82,8709.763489
-618.0,75,8709.9094
-163.0,130,8710.159334
-99.0,72,8710.297264
-60.0,56,8710.404066
-371.0,289,8710.962194
-83.0,76,8711.106966
-74.0,44,8711.191324
-79.0,68,8711.321502
-125.0,99,8714.812819
-44.0,36,8714.866118
-311.0,218,8715.186951
-105.0,85,8715.315677
-136.0,108,8715.480035
-54.0,46,8715.549317
-107.0,71,8715.65791
-52.0,40,8715.720171
-50.0,48,8715.79225
-310.0,204,8716.109261
-63.0,39,8716.169981
-103.0,71,8716.294779
-56.0,39,8716.357198
-395.0,287,8716.811276
-370.0,139,8717.032082
-200.0,136,8717.250915
-66.0,40,8717.315397
-58.0,57,8717.40679
-51.0,41,8717.472488
-204.0,145,8717.709891
-55.0,48,8717.787137
-58.0,42,8717.870526
-256.0,163,8718.141022
-27.0,25,8718.180852
-51.0,44,8718.252782
-130.0,100,8718.41871
-216.0,157,8718.679811
-116.0,89,8718.830054
-207.0,147,8719.0795
-508.0,217,8719.447449
-106.0,76,8719.58864
-195.0,154,8719.854814
-52.0,44,8719.929693
-178.0,134,8720.15777
-439.0,93,8720.319425
-227.0,157,8720.592497
-73.0,39,8720.660411
-308.0,221,8721.050149
-402.0,242,8721.506623
-139.0,109,8721.706069
-183.0,136,8721.959839
-148.0,121,8722.185815
-177.0,134,8722.436974
-237.0,180,8722.77295
-133.0,99,8722.957294
-104.0,73,8723.094889
-102.0,77,8723.253743
-316.0,223,8723.677389
-58.0,39,8723.749885
-55.0,40,8723.826288
-56.0,41,8723.903028
-47.0,43,8723.985436
-43.0,29,8724.040274
-60.0,32,8724.100448
-54.0,39,8724.175176
-476.0,282,8724.710939
-63.0,49,8724.804876
-65.0,36,8724.873857
-27.0,39,8724.945159
-372.0,273,8725.484128
-244.0,203,8725.875618
-69.0,56,8725.984105
-179.0,129,8726.231717
-215.0,170,8726.556439
-99.0,62,8726.675107
-44.0,38,8726.747763
-103.0,76,8726.89217
-219.0,150,8727.198209
-58.0,41,8727.278154
-105.0,74,8727.421878
-58.0,49,8727.514515
-44.0,28,8727.56697
-135.0,104,8727.766192
-164.0,121,8727.997874
-57.0,43,8728.082447
-56.0,38,8728.156659
-63.0,41,8728.235527
-59.0,47,8728.32507
-139.0,120,8728.5552
-91.0,71,8728.689521
-213.0,143,8728.975571
-63.0,37,8729.04818
-59.0,41,8729.128072
-27.0,21,8729.167541
-457.0,191,8729.53604
-125.0,90,8729.706361
-99.0,66,8729.833868
-52.0,31,8729.893499
-144.0,115,8730.114562
-101.0,77,8730.260782
-477.0,358,8730.969527
-116.0,95,8731.155113
-126.0,96,8731.339201
-127.0,113,8731.557763
-55.0,34,8731.622488
-94.0,70,8731.755373
-65.0,50,8731.851772
-99.0,77,8731.999789
-168.0,120,8732.231178
-96.0,82,8732.38764
-174.0,129,8732.632573
-96.0,65,8732.757939
-142.0,118,8736.28686
-43.0,22,8736.319053
-171.0,137,8736.522136
-102.0,85,8736.64778
-50.0,49,8736.720568
-59.0,39,8736.779112
-73.0,58,8736.865846
-60.0,51,8736.942628
-96.0,62,8737.036226
-108.0,83,8737.161388
-43.0,38,8737.218629
-148.0,105,8737.37937
