#{"t_start": 1693081991.9941504, "env_id": "gym_examples/Schedule-v0"}
r,l,t
-1884.0,88,25.57532
-1307,22,25.611342
-636.0,35,25.66786
-665.0,43,25.737542
-7,8,25.750445
-440,46,25.824922
-545.0,34,25.878995
-737.0,35,25.93597
-1439.0,52,26.020042
-842,52,26.104241
-519,27,26.147619
-1461.0,67,26.255194
-216.0,41,26.318892
-932,42,26.387679
-1045.0,49,26.466969
-13,21,26.500184
-2186.0,107,26.674499
-12,14,26.69722
-343.0,25,26.737823
-1132.0,43,26.817343
-389.0,53,26.904948
-220.0,48,26.979641
-1247.0,57,27.072787
-1240.0,41,27.140647
-1143.0,51,27.224323
-969.0,70,27.339113
-258.0,50,27.421011
-8,9,27.435878
-801,110,27.617551
-1553.0,68,27.731577
-2215.0,107,27.911278
-617.0,28,27.957422
-21.0,24,27.997145
-929.0,36,28.057478
-720.0,47,28.133971
-819.0,27,28.179436
-15.0,20,28.211994
-222.0,28,28.257921
-3542.0,150,28.519355
-835.0,41,28.588405
-714.0,44,28.659583
-1563.0,51,28.751417
-541.0,36,28.814827
-220.0,22,28.853534
-9,15,28.879383
-1341.0,60,28.985681
-413.0,22,29.023852
-116,18,29.055721
-1349.0,50,29.144764
-11.0,14,29.169074
-1279.0,61,29.277049
-511,21,29.313899
-217.0,21,29.350447
-641.0,16,29.380004
-951.0,54,29.474568
-629.0,26,29.521132
-1051.0,56,29.619339
-2073.0,82,29.766494
-24.0,16,29.794875
-1792.0,100,29.973435
-1626.0,114,30.175983
-988.0,75,30.317937
-310,15,30.345039
-1197.0,87,30.501675
-958.0,41,30.576399
-522.0,30,30.629639
-11,16,30.657483
-1114.0,26,30.704394
-5192.0,133,30.951329
-713.0,83,31.101878
-112.0,23,31.14234
-9.0,18,31.173923
-12,17,31.204115
-1619.0,91,31.370243
-1173.0,74,31.504852
-349.0,37,31.571626
-1138,53,31.666704
-637.0,36,31.732599
-2392.0,79,31.880364
-10.0,11,31.900709
-1149.0,55,32.002134
-3488.0,100,32.195331
-862.0,67,32.31734
-2385.0,83,32.470933
-23.0,26,32.516579
-1445.0,66,32.636628
-430.0,41,32.709955
-928.0,32,32.768544
-528.0,33,32.830214
-29.0,33,32.889501
-1762.0,75,33.031286
-23.0,20,33.068147
-741.0,39,33.139093
-514,31,33.195453
-620,30,33.250563
-1234.0,49,33.341363
-411,20,33.378244
-1646.0,47,33.466931
-1055.0,64,33.585736
-23.0,24,33.629806
-1841.0,148,33.904964
-410.0,11,33.934086
-1848.0,125,34.165798
-832.0,38,34.237068
-1451.0,53,34.336305
-464.0,58,34.444565
-542.0,33,34.506656
-3635.0,125,34.741737
-844.0,37,34.810715
-409,17,34.843314
-10.0,13,34.867217
-526.0,30,34.92342
-870.0,72,35.055959
-917.0,28,35.107972
-1180.0,94,35.280941
-626,46,35.365165
-372.0,71,35.494258
-2279.0,86,35.654861
-1350.0,56,35.758467
-8,13,35.790686
-1808.0,92,35.964227
-2994.0,116,36.180343
-613.0,29,36.233265
-29.0,24,36.276873
-24,35,36.340443
-841.0,43,36.420353
-716,32,36.479516
-61.0,59,36.588535
-1757,78,36.733042
-762.0,63,36.849602
-972.0,62,36.967823
-936.0,36,37.034663
-1374.0,80,37.18392
-731.0,48,37.271882
-218.0,20,37.308376
-4013.0,137,37.565071
-706,15,37.593673
-10,15,37.620825
-3232.0,129,37.875381
-420.0,27,37.927289
-225,37,37.996139
-118.0,21,38.035348
-21.0,18,38.068417
-1493.0,99,38.252613
-112,19,38.287505
-518.0,24,38.33265
-821,39,38.404098
-537.0,30,38.4605
-2723.0,91,38.633193
-616.0,21,38.672647
-1133.0,40,38.746933
-28.0,29,38.800441
-952.0,76,38.939901
-14,30,38.995687
-7,8,39.010681
-246.0,47,39.097964
-25.0,27,39.14655
-936.0,39,39.219088
-911.0,79,39.366193
-1178.0,68,39.491745
-1354.0,63,42.856749
-1859.0,74,42.961968
-11,12,42.979447
-25.0,24,43.012535
-1217.0,26,43.049679
-333.0,37,43.102546
-463.0,46,43.168125
-3811.0,136,43.362532
-672.0,58,43.444439
-1261.0,60,43.530086
-340.0,35,43.578993
-1718.0,39,43.6343
-655.0,44,43.697902
-832.0,27,43.738011
-1542.0,58,43.823394
-743.0,30,43.867607
-8,10,43.882326
-2900.0,93,44.020846
-1089.0,71,44.127188
-918,52,44.202312
-1838,57,44.297771
-22.0,24,44.333191
-840.0,52,44.410754
-437.0,28,44.453584
-1008.0,100,44.603955
-12,21,44.634631
-345.0,41,44.695626
-1229.0,39,44.755681
-221.0,25,44.793345
-827.0,36,44.848794
-1386.0,69,44.954648
-1676.0,78,45.074027
-845.0,51,45.152985
-644.0,37,45.209655
-1035.0,43,45.275496
-40.0,38,45.33329
-423,31,45.380947
-452.0,32,45.430201
-324.0,15,45.45348
-224,29,45.498313
-7,13,45.518102
-3615.0,120,45.705814
-352.0,29,45.751361
-27.0,15,45.782763
-2593.0,95,45.933767
-729.0,43,46.000534
-1455.0,72,46.113867
-227,36,46.171574
-13,17,46.197947
-9,14,46.219488
-764.0,74,46.336674
-241.0,50,46.413663
-534.0,36,46.471479
-5091.0,179,46.763473
-450.0,60,46.8606
-1323,37,46.922743
-936.0,51,47.005113
-9,10,47.021278
-993.0,84,47.158546
-1556.0,64,47.263766
-315.0,16,47.290443
-12,15,47.314747
-616.0,114,47.510694
-7,8,47.523934
-3232.0,147,47.768595
-336,40,47.834861
-142.0,39,47.899503
-2759.0,79,48.032293
-320,39,48.096537
-232.0,46,48.172319
-311.0,18,48.202632
-1010.0,25,48.244108
-512,20,48.27726
-846.0,47,48.356967
-760.0,45,48.431358
-523.0,15,48.456597
-914,24,48.496893
-421.0,26,48.540056
-1124.0,34,48.597769
-921,31,48.649759
-823.0,36,48.709783
-1626.0,40,48.777333
-1504.0,89,48.926649
-932,42,48.997976
-213,16,49.025211
-1150.0,52,49.121617
-422.0,14,49.145088
-2171.0,83,49.288054
-22.0,14,49.312557
-2284.0,77,49.450939
-68.0,50,49.539349
-2946.0,142,49.790934
-1892.0,96,49.96268
-9.0,12,49.983078
-4999.0,247,50.426593
-219.0,28,50.475067
-221.0,22,50.51386
-451.0,48,50.598597
-575.0,67,50.717716
-714.0,19,50.752556
-15,16,50.780736
-4656.0,157,51.075178
-1500.0,76,51.212123
-1245.0,60,51.321703
-1162.0,45,51.404239
-439.0,31,51.459929
-1183.0,81,51.606479
-330,39,51.677254
-216.0,15,51.704664
-718.0,24,51.748481
-2152.0,132,51.988973
-229.0,20,52.025754
-1908.0,32,52.086741
-441.0,43,52.164823
-434.0,37,52.231814
-816.0,30,52.286877
-22.0,34,52.346575
-16.0,16,52.37571
-11,12,52.397426
-461.0,57,52.501043
-1351.0,57,52.604936
-1806.0,120,52.835374
-708.0,28,52.885381
-222,26,52.933083
-723.0,32,52.992912
-1467.0,73,53.126397
-221,32,53.183818
-850.0,58,53.290896
-220,24,53.336155
-1854.0,69,53.46411
-29.0,28,53.515121
-615.0,21,53.554121
-2430.0,137,53.805172
-1037.0,41,53.881867
-518,24,53.927583
-19.0,21,53.965746
-1145.0,48,54.054597
-1262.0,59,54.164212
-945.0,65,54.282129
-2849.0,149,54.569301
-4240.0,135,54.823344
-519.0,27,54.873413
-1066.0,59,54.983543
-211.0,13,55.008338
-739,56,55.111226
-223,26,55.159202
-1388.0,88,55.319711
-1212,27,55.371013
-17,30,55.424951
-944.0,45,55.507911
-428.0,31,55.564033
-728.0,24,55.609077
-856.0,54,55.70932
-147.0,39,55.780971
-1461.0,72,55.914383
-468.0,59,56.023316
-321,27,56.073072
-3199.0,106,56.272833
-1016,29,56.327091
-135.0,29,56.382071
-1567.0,82,56.543358
-1745.0,50,56.637739
-1120.0,34,56.701504
-857.0,59,56.811662
-9,15,56.839139
-824.0,32,56.899667
-1133,45,56.983738
-12,17,57.014549
-1641.0,57,57.121248
-616.0,22,57.162291
-1247.0,59,57.274396
-1731.0,136,57.527472
-729,43,57.606061
-825.0,35,57.670901
-767.0,76,57.811522
-318.0,23,57.853407
-316.0,24,57.897981
-331.0,21,57.936807
-55.0,54,58.033625
-633.0,41,58.109423
-1022,42,58.186366
-1342.0,105,58.391671
-1335.0,47,58.481038
-544.0,24,58.52598
-642.0,43,58.604759
-330.0,23,58.647859
-848,78,58.79001
-958.0,56,58.894504
-813.0,26,58.942612
-11.0,10,58.960896
-28.0,29,59.013088
-1045.0,43,59.092494
-1127.0,34,59.156601
-1453.0,59,59.266349
-942.0,51,59.361489
-714.0,20,59.398603
-1325.0,35,59.465358
-614.0,95,59.641854
-623.0,29,59.69578
-8,14,59.721237
-225,31,59.777748
-228.0,32,59.836029
-2706.0,96,60.016236
-1342.0,46,60.102211
-31.0,32,63.441423
-1479.0,80,63.556104
-211,18,63.581182
-27,33,63.627516
-1141.0,28,63.667637
-650.0,47,63.732827
-617,65,63.820539
-340.0,46,63.884661
-310,14,63.904863
-752.0,49,63.974703
-1882.0,86,64.096691
-506,16,64.119196
-8,31,64.160406
-136,52,64.232723
-422.0,25,64.268327
-15,23,64.30102
-715,23,64.33489
-412,41,64.392358
-1887.0,77,64.506394
-114,19,64.535332
-909.0,24,64.570742
-2185.0,87,64.701448
-10.0,7,64.711884
-1647.0,57,64.798054
-1265.0,54,64.889473
-734.0,42,64.952636
-1845.0,50,65.027975
-4205.0,191,65.318311
-1450.0,61,65.411448
-1032.0,31,65.459
-10.0,19,65.48662
-2067.0,67,65.590797
-1537.0,45,65.660831
-140.0,53,65.739426
-13,17,65.765132
-14.0,13,65.784711
-323.0,21,65.81619
-705.0,88,65.951025
-4723.0,128,66.152679
-532.0,25,66.191931
-1985.0,78,66.31411
-1689.0,101,66.480504
-1022.0,36,66.536911
-470.0,58,66.63018
-236,44,66.699559
-1344.0,53,66.784257
-209,12,66.803555
-2134.0,40,66.869341
-1646.0,57,66.962629
-826,41,67.028184
-8,10,67.044126
-541.0,41,67.109147
-10,14,67.13132
-14,18,67.159774
-13,23,67.1956
-224.0,34,67.249148
-1477.0,75,67.368046
-933.0,47,67.442999
-432.0,23,67.480032
-2138.0,128,67.690219
-1459.0,61,67.790714
-2215,49,67.871498
-21.0,23,67.909039
-1617.0,80,68.049375
-632.0,38,68.112351
-2210.0,100,68.277773
-1029.0,38,68.341907
-21.0,32,68.393586
-3643.0,136,68.62054
-309.0,12,68.641757
-11,12,68.662301
-9.0,21,68.695659
-419,25,68.736869
-613.0,21,68.771874
-420,27,68.816923
-647.0,28,68.863778
-268.0,62,68.966038
-122.0,31,69.016563
-1030.0,36,69.076028
-352.0,42,69.145768
-533.0,37,69.207582
-527.0,32,69.261026
-1346.0,113,69.449971
-2730.0,137,69.680767
-3854.0,143,69.936505
-532.0,23,69.977928
-1336.0,42,70.053034
-735.0,36,70.116431
-1050.0,67,70.234149
-1605.0,97,70.405268
-21.0,10,70.422955
-3120.0,117,70.630934
-1177.0,75,70.765671
-129.0,30,70.818141
-1713.0,105,71.005802
-917.0,29,71.057784
-1761.0,56,71.159258
-427.0,23,71.199824
-9.0,11,71.218942
-9,20,71.253263
-13.0,26,71.297336
-22.0,32,71.352552
-654.0,47,71.436513
-1667.0,127,71.673651
-25.0,21,71.711088
-1130.0,47,71.796264
-1825.0,106,71.989302
-1686.0,80,72.135457
-225.0,13,72.159394
-223,32,72.216827
-1054.0,70,72.342957
-956.0,43,72.421883
-1157.0,55,72.522235
-9,11,72.542
-10,15,72.568799
-933.0,33,72.629243
-853.0,43,72.708292
-812,24,72.753227
-453.0,33,72.813139
-424.0,24,72.857572
-1532.0,44,72.939627
-25.0,13,72.963033
-8,11,72.982681
-1392.0,85,73.138925
-559.0,46,73.222294
-524.0,38,73.290824
-1635.0,55,73.400765
-1392.0,72,73.532853
-3256.0,78,73.677358
-736.0,31,73.734171
-1239.0,42,73.812557
-329.0,34,73.874417
-571.0,45,73.958093
-512.0,21,73.997024
-1935.0,55,74.099732
-1414.0,27,74.15142
-349.0,46,74.235345
-2369.0,82,74.386696
-28.0,19,74.421162
-1651.0,60,74.532281
-15.0,22,74.571269
-226.0,29,74.623675
-713,30,74.678492
-7,10,74.696713
-10.0,13,74.72009
-2610.0,99,74.907433
-725.0,22,74.94806
-1851.0,64,75.065808
-431.0,48,75.161227
-731.0,28,75.212842
-1042.0,41,75.28789
-839.0,47,75.375176
-1007,19,75.410762
-3010.0,101,75.600475
-2468.0,83,75.755681
-14,18,75.788216
-343.0,31,75.846383
-3350.0,152,76.130659
-1026.0,32,76.190964
-838.0,36,76.257809
-726.0,29,76.31179
-967.0,79,76.457164
-427,32,76.515652
-215.0,23,76.557646
-2429.0,120,76.781605
-424.0,30,76.83759
-340.0,29,76.891564
-1363.0,63,77.010829
-4345.0,126,77.257727
-447.0,29,77.311901
-25,30,77.366193
-737.0,35,77.430708
-742.0,39,77.504083
-11.0,13,77.527681
-625.0,32,77.587147
-1624.0,43,77.666781
-1029.0,40,77.741361
-21,25,77.787111
-896.0,80,77.938648
-717,28,77.991105
-225.0,29,78.043882
-2882.0,158,78.341162
-3127.0,136,78.594921
-890.0,87,78.755903
-118.0,18,78.788602
-918.0,25,78.835793
-224.0,24,78.881572
-26,29,78.94531
-632.0,41,79.021107
-959.0,72,79.154959
-9.0,13,79.178457
-225.0,26,79.226568
-560.0,46,79.312175
-1548.0,43,79.392632
-30.0,26,79.440535
-10,17,79.471197
-919,30,79.527241
-1174.0,62,79.643551
-9.0,10,79.661674
-221.0,20,79.698585
-14,23,79.739916
-252.0,38,79.810516
-8,9,79.827105
-946.0,34,79.892221
-429.0,44,79.973897
-3009.0,113,80.184746
-1028.0,31,80.243226
-906.0,97,80.422436
-10,12,80.444514
-644.0,37,80.513968
-2461.0,81,80.667208
-1024.0,34,80.731194
-919.0,29,84.049297
-116,23,84.081028
-46.0,50,84.149623
-912.0,20,84.178739
-1277.0,72,84.279986
-1605.0,77,84.39026
-319.0,24,84.423943
-412.0,18,84.449361
-8,14,84.468599
-1028.0,45,84.532102
-235.0,26,84.568981
-586.0,67,84.664248
-657.0,52,84.739531
-924.0,27,84.778774
-11,14,84.798558
-1215.0,27,84.837823
-27.0,22,84.870017
-1136.0,42,84.932096
-1453.0,55,85.013577
-446.0,39,85.070731
-828.0,120,85.24486
-216.0,20,85.273838
-641.0,43,85.336818
-821.0,30,85.381368
-1360.0,59,85.469059
-1296.0,72,85.585332
-959.0,59,85.673236
-35.0,31,85.718791
-2415.0,109,85.884063
-3002.0,133,86.086094
-541.0,41,86.148708
-722.0,100,86.30065
-1977.0,86,86.432718
-322.0,43,86.495681
-210.0,15,86.518557
-1030.0,41,86.581318
-2036.0,134,86.788851
-322.0,27,86.830218
-449.0,59,86.919093
-1688.0,83,87.058924
-308.0,10,87.075084
-328.0,20,87.106106
-425.0,29,87.151888
-226.0,14,87.174253
-838.0,41,87.238885
-3931.0,134,87.453039
-213,22,87.487509
-328.0,37,87.545794
-985.0,75,87.663958
-423.0,24,87.701743
-424.0,17,87.728777
-24.0,24,87.766178
-16.0,21,87.798788
-463.0,56,87.88907
-1155.0,62,87.988571
-1758.0,134,88.205961
-1259.0,52,88.290453
-3149.0,134,88.509956
-3144.0,173,88.803814
-2355.0,63,88.909816
-727.0,31,88.961474
-1650.0,59,89.058355
-228.0,18,89.087948
-874.0,65,89.194784
-1333.0,36,89.255645
-7,12,89.27498
-420,35,89.33128
-435.0,37,89.392517
-142.0,36,89.45231
-1056.0,52,89.538848
-234.0,40,89.604614
-406,11,89.622999
-1243.0,59,89.720265
-519,28,89.766407
-416.0,19,89.798
-215.0,17,89.826496
-915,28,89.87305
-1370.0,78,90.003134
-17,26,90.045203
-3771.0,93,90.204144
-23,24,90.24395
-633.0,34,90.309706
-422.0,22,90.347141
-1473.0,93,90.501715
-2304.0,100,90.671422
-1135.0,50,90.759063
-15,19,90.792108
-780.0,50,90.881454
-1691.0,85,91.031299
-2391.0,95,91.201163
-114.0,16,91.229473
-332.0,47,91.311222
-219,27,91.357921
-7,19,91.390166
-1593.0,63,91.502617
-1580.0,81,91.645769
-532.0,31,91.700814
-16,32,91.755504
-7,11,91.774696
-1316.0,28,91.825312
-1573.0,73,91.956416
-318.0,25,92.001605
-647.0,39,92.080426
-771.0,100,92.256716
-26.0,35,92.317813
-171.0,64,92.431769
-133.0,30,92.485656
-523.0,29,92.538076
-472.0,64,92.652068
-621.0,28,92.702951
-814,24,92.746271
-233.0,23,92.787332
-1029.0,38,92.856573
-1857.0,64,92.971134
-3021.0,135,93.219501
-234.0,27,93.268531
-368.0,62,93.381684
-767.0,67,93.502163
-15.0,9,93.518657
-38.0,32,93.575457
-1628.0,41,93.651371
-814.0,21,93.689899
-319.0,24,93.732914
-346.0,40,93.805408
-1982.0,72,93.946186
-10,13,93.969475
-4453.0,221,94.376159
-864.0,63,94.491358
-3111.0,116,94.704203
-921.0,30,94.759217
-126.0,24,94.802441
-436.0,40,94.875638
-3124.0,128,95.112632
-434,41,95.188311
-223.0,18,95.221634
-4289.0,176,95.551146
-2371.0,179,95.891091
-2776.0,99,96.074367
-309.0,18,96.107335
-1228.0,36,96.175093
-429.0,20,96.212447
-942.0,48,96.302396
-279.0,80,96.447735
-1773.0,89,96.613136
-3334.0,125,96.84729
-126.0,32,96.906954
-749.0,58,97.013662
-1124,42,97.092227
-722.0,28,97.14469
-1330.0,42,97.223105
-428.0,31,97.282453
-122,29,97.335975
-9,12,97.357939
-1955.0,73,97.49342
-3540.0,139,97.763594
-834.0,42,97.842618
-14,16,97.871862
-620.0,31,97.929736
